code,description,category,variable_type,semantic_key,reference_unit,consumption_per_reference_unit,initial_value,source_price_value,source_price_formula,source_reference_formula,source_is_formula_derived,currency,source_file,source_sheet,source_row,scope,review_status
PU_ACERO_CORTEN,Acero Corten (alternativa a hierro para chapa/quemador),"11.1 Materiales alternativos (quemador/parrilla/chimenea — consultas 5, 6 y 7 dejaron el material abierto)",precio_unitario,,kg,1,100,100,,D74*E74,True,UYU,Variables.xlsx,Precios Base,74,reutilizable,referencia_importada
PU_ACERO_INOX304,Acero Inoxidable 304 (alternativa a hierro para quemador/parrilla),"11.1 Materiales alternativos (quemador/parrilla/chimenea — consultas 5, 6 y 7 dejaron el material abierto)",precio_unitario,,kg,1,250,250,,D75*E75,True,UYU,Variables.xlsx,Precios Base,75,reutilizable,referencia_importada
PU_BENEFICIO,Beneficio / utilidad del contratista,"10. FLETE, INDIRECTOS Y MÁRGENES",regla_comercial_porcentaje,commercial.gross_margin_target,%,1,0.35,0.35,,D69*E69,True,UYU,Variables.xlsx,Precios Base,69,reutilizable,referencia_importada
PU_BISAGRA,Bisagras (unidad),"11.4 Herrajes de puertas y portones (H01 puertas parrillero, H02 portones)",precio_unitario,,un,1,250,250,,D90*E90,True,UYU,Variables.xlsx,Precios Base,90,reutilizable,referencia_importada
PU_BULON_QUIMICO,Bulón de anclaje químico M16×300mm (por unidad),"6. BULONERÍA, ANCLAJES QUÍMICOS Y GROUT",precio_unitario,,un,1,50,50,,D34*E34,True,UYU,Variables.xlsx,Precios Base,34,reutilizable,referencia_importada
PU_BULONERIA_GRAL,Bulonería de conexión general (tornillería varia),"6. BULONERÍA, ANCLAJES QUÍMICOS Y GROUT",precio_unitario,,Un,1,300,300,,,False,UYU,Variables.xlsx,Precios Base,37,reutilizable,referencia_importada
PU_CANALON,"Canalón oculto plegado (chapa galvanizada, desarrollo ~40cm)",3. MALLA ELECTROSOLDADA Y CUBIERTAS,precio_unitario,,ml,1,600,600,,D24*E24,True,UYU,Variables.xlsx,Precios Base,24,reutilizable,referencia_importada
PU_CANOØ200,Caño estructural redondo Ø200mm×3mm (chimenea estufa),1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,6000,6000,,,False,UYU,Variables.xlsx,Precios Base,14,reutilizable,referencia_importada
PU_CANOØ250,Caño estructural redondo Ø250mm×3mm (chimenea parrillero),1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,8000,8000,,,False,UYU,Variables.xlsx,Precios Base,15,reutilizable,referencia_importada
PU_CARTUCHO_QUIMICO,"Cartucho de resina química (por unidad, rinde 2 anclajes)","6. BULONERÍA, ANCLAJES QUÍMICOS Y GROUT",precio_unitario,,un,1,200,200,,,False,UYU,Variables.xlsx,Precios Base,35,reutilizable,referencia_importada
PU_CHAPA_BASE,Chapa platina de base de pilar — espesor 15mm,"2. CHAPAS Y PLANCHUELAS (precio por kg — kg/m² = espesor(mm) × 7,85)",precio_unitario,,un,1,600,600,,D18*E18,True,UYU,Variables.xlsx,Precios Base,18,reutilizable,referencia_importada
PU_CHAPA_CONEXION,Chapa platina de conexión viga-pilar — espesor 12mm,"2. CHAPAS Y PLANCHUELAS (precio por kg — kg/m² = espesor(mm) × 7,85)",precio_unitario,,un,1,500,500,,D19*E19,True,UYU,Variables.xlsx,Precios Base,19,reutilizable,referencia_importada
PU_CHAPA_PARRILLERO,Chapa hierro cierre parrillero — espesor a definir (asumido 2mm),"2. CHAPAS Y PLANCHUELAS (precio por kg — kg/m² = espesor(mm) × 7,85)",precio_unitario,,m²,1,1200,1200,,D17*E17,True,UYU,Variables.xlsx,Precios Base,17,reutilizable,requiere_revision
PU_CHAPA_RIGID,Chapa rigidizador (cartabón) — espesor 8mm,"2. CHAPAS Y PLANCHUELAS (precio por kg — kg/m² = espesor(mm) × 7,85)",precio_unitario,,un,1,300,300,,D20*E20,True,UYU,Variables.xlsx,Precios Base,20,reutilizable,referencia_importada
PU_CIERRE_MAGNETICO,Cierre magnético para puerta,"11.4 Herrajes de puertas y portones (H01 puertas parrillero, H02 portones)",precio_unitario,,un,1,10000,10000,,D91*E91,True,UYU,Variables.xlsx,Precios Base,91,reutilizable,referencia_importada
PU_CINTA_ENMASCARAR,Cinta de enmascarar,11.7 Insumos menores de taller (mantenimiento y terminación — agrupables en un solo % si se prefiere no detallar),precio_unitario,,un,1,3000,3000,,D104*E104,True,UYU,Variables.xlsx,Precios Base,104,reutilizable,referencia_importada
PU_CONS_SOLDADURA,Hilo/electrodo de soldadura (por kg de material soldado),4. CONSUMIBLES DE SOLDADURA Y CORTE,precio_unitario,,Kg,1,350,350,,D26*E26,True,UYU,Variables.xlsx,Precios Base,26,reutilizable,referencia_importada
PU_DISCO_CORTE,"Disco de corte 14"" (por ml cortado — perfiles medianos/pesados)",4. CONSUMIBLES DE SOLDADURA Y CORTE,precio_unitario,,Un,1,250,250,,D27*E27,True,UYU,Variables.xlsx,Precios Base,27,reutilizable,referencia_importada
